From Date,To Date,PM2.5,SO2,CO
08-04-2023 00:00,09-04-2023 00:00,64.43,48.06,1.98
09-04-2023 00:00,10-04-2023 00:00,63.47,49.78,1.55
10-04-2023 00:00,11-04-2023 00:00,51.01,50.98,1.1
11-04-2023 00:00,12-04-2023 00:00,32.89,50.77,0.95
12-04-2023 00:00,13-04-2023 00:00,None,45.28,0.95
13-04-2023 00:00,14-04-2023 00:00,50.73,57.95,2.05
14-04-2023 00:00,15-04-2023 00:00,32.57,54.22,2.67
15-04-2023 00:00,16-04-2023 00:00,28.1,54.53,2.05
16-04-2023 00:00,17-04-2023 00:00,24.22,56.17,2.02
17-04-2023 00:00,18-04-2023 00:00,25.46,57.56,1.75
18-04-2023 00:00,19-04-2023 00:00,40.1,63.15,1.82
19-04-2023 00:00,20-04-2023 00:00,44.85,68.76,1.88
20-04-2023 00:00,21-04-2023 00:00,25.14,70.27,1.61
21-04-2023 00:00,22-04-2023 00:00,15.83,67.3,1.31
22-04-2023 00:00,23-04-2023 00:00,16.35,66.39,1.29
23-04-2023 00:00,24-04-2023 00:00,17.8,66.57,1.25
24-04-2023 00:00,25-04-2023 00:00,22.73,67.5,1.28
25-04-2023 00:00,26-04-2023 00:00,32.26,57.5,1.2
26-04-2023 00:00,27-04-2023 00:00,24.89,45.84,1.11
27-04-2023 00:00,28-04-2023 00:00,20.32,46.19,1.08
28-04-2023 00:00,29-04-2023 00:00,15.49,47.9,1.06
29-04-2023 00:00,30-04-2023 00:00,13.96,45,1.03
30-04-2023 00:00,30-04-2023 22:35,None,45.28,1.02
